symbol,name,score,rank,top_factors,sector,reason,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,sig_needle,close,pct_change,yellow_line,above_yellow,float_mv_yi,concepts,sector_score,strict_signal,strategies
600863,,84.15,19,"j_low(+0.76), ql_pos(-0.12), trend_gap(+0.12)",电力行业,"j_low(+0.76), ql_pos(-0.12), trend_gap(+0.12)",0.8367,1.0,0.6825,1.0,1.0,0.5324,0.4696,0.3,0.7296,1.0,0.0,0.0,1.0,0.3918,True,False,False,False,5.72,0.88,5.7,True,37333.8,低碳经济/信托重仓/券商重仓,65.3,True,B1+周线金叉
600403,,83.59,20,"j_low(+0.84), yangyin(+0.23), vol_shrink(-0.20)",煤炭行业,"j_low(+0.84), yangyin(+0.23), vol_shrink(-0.20)",0.9191,1.0,0.2751,1.0,1.0,0.0,0.8091,0.9,0.9643,1.0,0.0,0.5,0.0,0.3186,False,True,False,False,6.62,1.38,6.41,True,15827.2,,44.3,True,量能B1
603557,,83.46,21,"j_low(+0.86), vol_shrink(+0.21), yangyin(-0.17)",,"j_low(+0.86), vol_shrink(+0.21), yangyin(-0.17)",0.9922,1.0,0.7333,1.0,0.7593,0.8126,0.1879,0.0,0.8793,1.0,0.0,0.5,0.7,0.374,True,False,False,False,4.37,-2.89,4.34,True,2724.4,,,True,B1
605580,,82.01,22,"j_low(+0.53), ml_score(+0.14), trend_gap(+0.12)",,"j_low(+0.53), ml_score(+0.14), trend_gap(+0.12)",0.6073,1.0,0.6561,0.9876,1.0,0.4155,0.5076,0.6,0.7488,1.0,0.0,0.5,1.0,0.4041,True,False,False,False,25.03,-2.91,24.49,True,7008.4,,,True,B1+周线金叉
300922,,81.2,23,"j_low(+0.75), yangyin(+0.21), ml_score(-0.15)",,"j_low(+0.75), yangyin(+0.21), ml_score(-0.15)",0.825,1.0,0.4878,1.0,1.0,0.1339,0.786,0.6,0.8058,1.0,0.0,0.5,1.0,0.2452,True,False,False,False,22.98,-0.26,22.09,True,2864.9,专精特新,,True,B1+周线金叉
001289,,81.09,24,"j_low(+0.83), ql_pos(-0.17), vol_shrink(+0.15)",,"j_low(+0.83), ql_pos(-0.17), vol_shrink(+0.15)",0.9132,1.0,0.8372,0.8427,0.9153,0.68,0.408,0.0,0.6597,1.0,1.0,0.5,1.0,0.3347,True,False,False,False,17.61,0.0,17.54,True,887.7,抽水蓄能/光热发电,,True,B1+周线金叉
301235,,80.87,25,"j_low(+0.53), trend_gap(+0.12), ml_score(-0.11)",,"j_low(+0.53), trend_gap(+0.12), ml_score(-0.11)",0.6042,1.0,0.6197,1.0,1.0,0.5782,0.5031,0.6,1.0,1.0,1.0,0.0,1.0,0.2662,True,False,False,False,66.08,1.07,61.83,True,4807.0,专精特新,,True,B1+周线金叉
301111,,76.62,26,"j_low(+0.60), trend_gap(+0.12), bowl(+0.10)",,"j_low(+0.60), trend_gap(+0.12), bowl(+0.10)",0.6721,1.0,0.5379,1.0,1.0,0.3095,0.4592,0.6,0.8965,1.0,0.0,0.0,1.0,0.3161,True,False,False,False,25.26,-1.64,24.66,True,4041.6,融资融券/创新药/三胎概念,,True,B1+周线金叉
603031,,76.49,27,"j_low(+0.70), vol_shrink(+0.12), trend_gap(+0.12)",,"j_low(+0.70), vol_shrink(+0.12), trend_gap(+0.12)",0.7824,1.0,0.6769,1.0,1.0,0.635,0.3075,0.0,1.0,1.0,1.0,0.0,0.7,0.2945,True,False,False,False,53.24,-1.13,49.38,True,16738.1,AI PC/超级品牌,,True,B1
600265,,76.38,28,"j_low(+0.86), yangyin(-0.21), ml_score(+0.16)",农林牧渔,"j_low(+0.86), yangyin(-0.21), ml_score(+0.16)",1.0,1.0,0.5447,1.0,1.0,0.4051,0.0,0.0,0.7639,1.0,0.0,0.5,0.7,0.4192,True,False,False,False,23.02,-1.12,22.87,True,2988.0,稀缺资源/准ST股,26.1,True,B1
300849,,76.15,29,"j_low(+0.64), vol_shrink(+0.22), ml_score(-0.20)",,"j_low(+0.64), vol_shrink(+0.22), ml_score(-0.20)",0.7147,1.0,0.82,0.9189,0.5354,0.8163,0.2451,0.9,0.9025,1.0,0.0,0.5,0.7,0.2145,True,False,False,False,22.89,-0.3,22.66,True,2524.1,,,True,B1
300907,,73.14,30,"j_low(+0.32), ml_score(-0.20), surge(+0.18)",,"j_low(+0.32), ml_score(-0.20), surge(+0.18)",0.393,1.0,0.6646,1.0,1.0,0.6349,0.5073,0.9,1.0,0.0,0.0,0.5,1.0,0.2172,False,False,True,False,47.66,0.34,39.0,True,4575.4,,,True,知行超短+周线金叉
603319,,72.41,31,"j_low(+0.65), ql_pos(-0.15), bowl(+0.10)",,"j_low(+0.65), ql_pos(-0.15), bowl(+0.10)",0.7294,1.0,0.5713,0.7353,0.9764,0.5648,0.3102,0.3,0.6815,1.0,0.0,0.5,1.0,0.3639,True,False,False,False,36.19,2.52,36.14,True,12273.8,蚂蚁集团概念/PEEK材料,,True,B1+周线金叉
300069,,70.84,32,"j_low(+0.86), yangyin(-0.21), ml_score(+0.21)",发电设备,"j_low(+0.86), yangyin(-0.21), ml_score(+0.21)",0.9855,1.0,0.6403,1.0,1.0,0.0,0.0,0.0,0.7498,1.0,1.0,0.0,0.7,0.444,True,False,False,False,34.86,0.58,34.62,True,40.8,智能电网/业绩预升/核电,26.5,True,B1
605319,,68.94,33,"j_low(+0.59), vol_shrink(+0.22), ml_score(-0.16)",,"j_low(+0.59), vol_shrink(+0.22), ml_score(-0.16)",0.6675,1.0,0.8237,0.6406,0.6914,0.8307,0.3147,0.6,0.7481,1.0,1.0,0.5,0.7,0.2344,True,False,False,False,26.22,0.5,25.91,True,9128.5,,,True,B1
002700,,66.98,34,"yangyin(+0.27), surge(+0.18), trend_gap(+0.12)",供水供气,"yangyin(+0.27), surge(+0.18), trend_gap(+0.12)",0.0,0.0,0.1222,1.0,1.0,0.4405,0.8756,0.9,1.0,0.0,1.0,1.0,1.0,0.3171,False,False,True,False,8.86,10.06,7.53,True,19.0,业绩预升/送转潜力/本月解禁,21.9,True,知行超短+周线金叉
605566,,65.77,35,"surge(+0.18), yangyin(+0.16), trend_gap(+0.12)",,"surge(+0.18), yangyin(+0.16), trend_gap(+0.12)",0.0,1.0,0.4569,1.0,1.0,0.3101,0.7089,0.9,1.0,0.0,0.0,1.0,0.7,0.3484,False,False,True,False,47.9,2.68,37.63,True,6387.0,光伏概念/POE胶膜/染料,,True,知行超短
