symbol,name,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,sig_needle,close,pct_change,yellow_line,above_yellow,float_mv_yi,sector,concepts,sector_score
600724,,0.0,1.0,0.8579,0.4002,0.0,0.8744,0.1989,0.0,0.4392,0.0,0.0,0.5,0.7,0.3049,False,False,False,False,6.57,0.0,6.86,False,9493.3,房地产,固废处理/污水处理/信托重仓,29.6
600725,,0.9199,1.0,0.7639,0.0762,0.0,0.6055,0.2582,0.0,0.0,0.0,0.0,0.0,0.0,0.4114,False,False,False,False,3.62,-1.36,4.08,False,4461.5,煤炭行业,ST板块/低碳经济/金融参股,44.3
600726,,0.5613,1.0,0.634,1.0,1.0,0.7189,0.251,0.0,1.0,1.0,1.0,0.5,0.7,0.2149,False,False,False,False,8.62,0.7,7.28,True,64437.4,电力行业,含B股/固废处理/金融参股,65.3
600727,,0.4486,1.0,0.8047,0.6677,0.2209,0.6657,0.21,0.3,0.3884,0.0,0.0,0.0,1.0,0.3526,False,False,False,False,7.65,-2.55,7.93,False,4043.7,农药化肥,,20.2
600728,,0.0,1.0,0.8128,0.0,0.0,0.6045,0.1685,0.0,0.0,0.0,0.0,0.0,0.0,0.4997,False,False,False,False,4.64,0.22,5.29,False,9895.3,电子信息,5G概念/金融改革/民营银行,26.5
600729,,0.0,1.0,0.8411,0.0,0.3409,0.2934,0.3082,0.6,0.3456,0.0,0.0,1.0,0.0,0.3697,False,False,False,False,20.66,0.49,20.89,False,3976.7,商业百货,成渝特区/内贸规划/社保重仓,26.7
600730,,0.9233,0.6699,0.7613,1.0,1.0,0.6944,0.3963,0.3,0.7985,1.0,0.0,0.0,1.0,0.4945,False,False,False,False,12.21,-4.98,12.12,True,7163.1,综合行业,准ST股/高校背景/上海本地,20.3
600731,,0.0,1.0,0.881,0.0,0.0,0.6668,0.102,0.3,0.0,0.0,0.0,0.5,0.0,0.3438,False,False,False,False,5.51,-1.61,6.2,False,2984.7,农药化肥,长株潭,20.2
600732,,0.0,1.0,0.5814,0.0,0.0,0.4643,0.2864,0.3,0.4132,0.0,0.0,0.5,0.0,0.3554,False,False,False,False,13.01,2.12,13.18,False,27314.0,房地产,光伏/ST板块/上海自贸,29.6
600733,,0.0,1.0,0.8098,0.0,0.0,0.5974,0.2986,0.0,0.0,0.0,0.0,0.0,0.0,0.4168,False,False,False,False,6.06,1.68,6.64,False,29643.8,房地产,固态电池/成渝特区,29.6
600734,,0.3898,1.0,0.7251,0.0,0.0,0.8405,0.2811,0.0,0.0,0.0,1.0,0.0,0.0,0.565,False,False,False,False,1.95,0.52,2.65,False,4246.8,电子信息,华为概念/军民融合/海峡西岸,26.5
600735,,0.0,1.0,0.8471,0.6061,0.1341,0.9471,0.2211,0.3,0.6149,1.0,0.0,0.0,0.7,0.2788,False,False,False,False,6.54,0.0,6.48,True,2782.5,纺织行业,黄河三角/婴童概念/自贸区,26.5
600736,,0.0,1.0,0.7933,0.6489,0.5464,0.8433,0.2317,0.3,1.0,0.0,0.0,1.0,0.7,0.1905,False,False,False,False,7.65,-1.16,7.44,True,8807.4,开发区,军民融合/金融参股/沿海发展,24.6
600737,,0.37,0.8121,0.749,0.0656,0.0,0.6507,0.2148,0.6,0.005,0.0,0.0,0.0,1.0,0.4685,False,False,False,False,13.24,-4.13,14.44,False,28318.4,食品行业,参股金融,28.5
600738,,0.4365,1.0,0.8526,0.0,0.0,0.6301,0.1212,0.0,0.0,0.0,0.0,0.0,0.0,0.4603,False,False,False,False,4.02,-1.23,4.51,False,3057.9,商业百货,业绩预升/陕甘宁/参股金融,26.7
600739,,0.0,1.0,0.8528,0.0382,0.0,0.3241,0.1137,0.3,0.1091,0.0,0.0,0.0,0.0,0.4711,False,False,False,False,10.38,-0.38,11.03,False,15878.4,物资外贸,融资融券/页岩气/金融参股,35.1
600740,,0.5322,1.0,0.7713,0.1217,0.0,0.6262,0.2306,0.0,0.0,0.0,0.0,0.5,0.0,0.3709,False,False,False,False,3.68,-2.9,4.02,False,9428.6,煤炭行业,低碳经济/融资融券,44.3
600741,,0.168,0.9715,0.7299,0.0,0.0,0.4593,0.1229,0.0,0.0,0.0,0.0,0.0,0.0,0.4153,False,False,False,False,16.49,-3.17,17.81,False,51988.4,汽车制造,融资融券/汽车电子/国企改革,25.0
600743,,1.0,1.0,0.7542,0.6928,0.0,0.8386,0.4296,0.6,0.0,0.0,0.0,0.0,0.7,0.5599,True,False,False,False,2.11,-2.76,2.37,False,4950.3,房地产,融资融券/京津冀,29.6
600744,,0.7471,1.0,0.7775,0.5687,0.0,0.8648,0.3692,0.3,0.2289,0.0,0.0,0.0,0.7,0.3878,False,False,False,False,7.47,-0.27,8.0,False,15172.5,电力行业,碳中和/光伏/碳交易,65.3
600745,,0.6457,1.0,0.638,0.0,0.0,0.1707,0.4778,0.9,0.0,0.0,1.0,0.5,0.0,0.5632,False,False,False,False,18.69,2.52,23.77,False,23262.9,房地产,涉矿概念,29.6
600746,,0.0,1.0,0.8293,0.0,0.0,0.7762,0.1235,0.0,0.0,0.0,0.0,0.0,0.0,0.5628,False,False,False,False,6.21,-0.64,7.21,False,7252.3,化工行业,氢能源,59.2
600748,,0.2445,1.0,0.7282,0.0,0.0,0.8049,0.1203,0.6,0.0,0.0,0.0,0.0,1.0,0.6781,False,False,False,False,4.05,-2.88,4.83,False,7470.5,房地产,融资融券/国企改革/上海本地,29.6
600749,,0.3976,0.8659,0.7421,0.2258,0.2894,0.6383,0.2407,0.3,0.1351,0.0,0.0,1.0,0.0,0.3657,False,False,False,False,15.17,-3.8,16.03,False,3443.1,酒店旅游,,27.5
600750,,1.0,1.0,0.83,0.5195,0.7684,0.6275,0.3116,0.3,0.4381,0.0,0.0,0.5,0.0,0.4133,True,False,False,False,24.23,-1.9,24.89,False,15233.0,生物制药,融资融券/婴童概念/金融参股,24.5
600751,,0.0,1.0,0.6718,0.0,0.0,0.4058,0.1435,0.3,0.0,0.0,0.0,0.0,0.0,0.4706,False,False,False,False,3.19,-1.85,3.51,False,8208.5,交通运输,含B股/京津冀/天津自贸,28.9
600753,,0.0386,0.6629,1.0,0.7056,0.0,1.0,0.1491,0.3,0.3135,0.0,1.0,0.0,0.7,0.3933,False,False,False,False,11.5,5.02,12.21,False,2648.5,商业百货,准ST股,26.7
600755,,0.0,1.0,0.8482,0.0552,0.0,0.6333,0.1502,0.0,0.0889,0.0,0.0,0.0,0.0,0.3854,False,False,False,False,5.67,-0.7,6.07,False,12089.3,物资外贸,海峡西岸/金融参股/参股金融,35.1
600756,,0.0,1.0,0.8664,0.0,0.0,0.8464,0.2496,0.3,0.0,0.0,0.0,0.0,0.0,0.4777,False,False,False,False,13.48,0.07,15.42,False,4368.9,电子信息,国产软件,26.5
600757,,0.0,1.0,0.9097,0.1429,0.0675,0.4041,0.2087,0.3,0.2666,0.0,0.0,1.0,0.0,0.324,False,False,False,False,8.05,-0.86,8.36,False,9768.7,传媒娱乐,武汉规划/上海本地/参股金融,21.0
600758,,1.0,1.0,0.803,0.7775,0.0,0.8697,0.2856,0.3,0.0,0.0,0.0,0.0,1.0,0.4145,True,False,False,False,4.01,-1.23,4.45,False,5296.2,供水供气,,21.9
600759,,1.0,1.0,0.7007,0.0,0.0,0.5741,0.3405,0.6,0.0,0.0,0.0,0.0,0.0,0.6692,False,False,False,False,2.4,-2.04,3.61,False,9944.8,石油行业,海南自贸/融资融券/涉矿概念,22.2
600760,,0.0,1.0,0.8321,0.0,0.0,0.5933,0.237,0.6,0.0,0.0,0.0,0.5,0.0,0.3543,False,False,False,False,42.48,-1.85,46.24,False,120199.4,汽车制造,大飞机/国防军工/军工航天,25.0
600761,,0.0,1.0,0.8547,0.0,0.0,0.8116,0.2978,0.3,0.0,0.0,0.0,0.0,0.0,0.4001,False,False,False,False,16.7,-1.65,18.18,False,14874.6,机械行业,皖江区域,29.0
600763,,0.0,1.0,0.866,0.0,0.0,0.7935,0.1131,0.0,0.0,0.0,0.0,0.0,0.0,0.5265,False,False,False,False,34.6,-0.66,38.49,False,15476.2,医疗器械,民营医院/婴童概念,26.5
600764,,0.0,1.0,0.8807,0.0,0.0,0.678,0.1338,0.0,0.0,0.0,0.0,0.0,0.0,0.5587,False,False,False,False,19.43,-0.66,22.36,False,13807.5,电子信息,国防军工/军民融合/军工航天,26.5
