symbol,name,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,close,pct_change,yellow_line,above_yellow,float_mv_yi,sector,concepts,sector_score
600879,,0.0,1.0,0.6024,0.0329,0.0,0.4744,0.2929,0.6,0.0774,0.0,0.0,0.5,1.0,0.3768,False,False,False,20.01,-0.55,22.23,False,66019.0,飞机制造,国防军工/军民融合/物联网,30.6
600880,,0.4062,1.0,0.7849,0.0,0.0,0.7469,0.1569,0.0,0.0,0.0,0.0,0.0,0.0,0.5188,False,False,False,4.1,1.74,4.74,False,4481.4,印刷包装,成渝特区/融资融券/网络游戏,13.4
600881,,0.0,0.6071,0.0873,0.3128,1.0,0.0,0.3616,0.6,1.0,0.0,0.0,1.0,0.0,0.3501,False,False,False,1.77,5.36,1.61,True,5720.9,水泥行业,朝鲜改革/融资融券/抗癌,23.9
600882,,0.0,0.9803,0.5736,0.088,0.2071,0.4313,0.223,0.3,0.3739,0.0,0.0,0.5,0.0,0.4174,False,False,False,19.51,3.12,19.57,False,9951.1,钢铁行业,黄河三角/民营银行/参股金融,29.9
600883,,0.5535,1.0,0.7357,0.4593,0.0,0.6389,0.1993,0.0,0.1696,0.0,0.0,0.0,1.0,0.4373,False,False,False,7.96,1.79,8.46,False,1879.3,水泥行业,,23.9
600884,,0.0203,0.8384,0.6641,0.3117,0.0,0.6667,0.168,0.0,0.2874,0.0,0.0,0.0,0.7,0.4897,False,False,False,13.62,3.97,14.41,False,24994.2,服装鞋类,光伏/固态电池/低碳经济,22.1
600885,,0.9396,1.0,0.5982,0.9798,0.9358,0.6336,0.4884,0.0,0.6175,0.0,0.0,0.0,1.0,0.4253,True,False,False,31.53,-0.5,31.86,False,48795.6,电器行业,智能电网/武汉规划,14.4
600886,,0.2701,1.0,0.7676,0.559,0.7616,0.3732,0.3405,0.3,0.7023,0.0,0.0,0.5,0.0,0.3445,False,False,False,14.03,1.89,13.75,True,104582.1,电力行业,融资融券/业绩预升/陕甘宁,42.3
600887,,0.2709,1.0,0.8672,0.419,0.1253,0.5015,0.1972,0.0,0.3519,0.0,0.0,0.0,1.0,0.3002,False,False,False,25.71,0.39,26.5,False,161816.9,食品行业,融资融券/社保重仓/保险重仓,28.6
600888,,0.0,1.0,0.5751,1.0,1.0,0.2596,0.7937,0.6,1.0,0.0,0.0,0.5,1.0,0.2214,False,False,False,10.92,-1.97,9.91,True,16959.7,有色金属,金融参股/参股金融,43.6
600889,,0.0,1.0,0.8191,0.5937,1.0,0.7198,0.2921,0.9,0.8076,0.0,0.0,0.5,1.0,0.3309,False,False,True,16.18,2.08,15.73,True,5927.5,化纤行业,,20.3
600892,,0.5313,1.0,0.8286,0.5708,0.0,0.7743,0.2314,0.0,0.2222,0.0,1.0,0.0,1.0,0.4259,False,False,False,3.58,2.29,3.78,False,2002.4,综合行业,参股金融,23.1
600893,,0.3655,1.0,0.6613,0.0,0.0,0.3037,0.2318,0.3,0.0,0.0,1.0,0.0,0.0,0.6052,False,False,False,38.82,1.65,45.08,False,103460.1,飞机制造,大飞机/光伏概念/国防军工,30.6
600894,,1.0,1.0,0.8644,0.1927,0.0,0.7742,0.1741,0.0,0.0496,0.0,0.0,0.5,0.0,0.4493,False,False,False,8.33,-0.36,8.97,False,7023.4,交通运输,绿色照明/业绩预升/券商重仓,30.7
600895,,0.0,0.5709,0.3491,0.016,0.0,0.0137,0.2554,0.0,0.2154,0.0,0.0,0.0,0.0,0.3818,False,False,False,34.28,5.57,35.9,False,53089.1,开发区,上海自贸/整体上市/分拆上市,38.1
600897,,0.0,1.0,0.7293,0.1466,0.6106,0.0,0.3553,0.6,0.8403,0.0,0.0,1.0,0.0,0.4767,False,False,False,16.19,2.73,15.58,True,6750.2,交通运输,海峡西岸/QFII重仓,30.7
600900,,0.0,1.0,0.8518,0.6005,0.9722,0.2481,0.3985,0.9,0.8395,0.0,0.0,1.0,0.7,0.4324,False,False,False,28.28,1.4,27.23,True,691961.2,电力行业,融资融券/整体上市/金融参股,42.3
600901,,0.0,1.0,0.7771,0.4533,0.5641,0.5586,0.2751,0.0,0.7817,0.0,0.0,1.0,0.0,0.4189,False,False,False,6.68,1.52,6.53,True,38680.2,,,
600903,,0.0,0.7738,0.4771,1.0,1.0,0.6249,0.6084,0.3,1.0,1.0,0.0,0.0,1.0,0.2718,False,False,False,8.78,-4.36,8.15,True,10097.1,,,
