symbol,name,score,rank,top_factors,sector,reason,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,sig_needle,pattern_state,close,pct_change,yellow_line,above_yellow,float_mv_yi,concepts,sector_score,strict_signal,strategies
002925,,93.12,31,"amplitude(+0.31), vol_shrink(+0.25), j_low(+0.24)",,"amplitude(+0.31), vol_shrink(+0.25), j_low(+0.24)",1.0,1.0,0.6858,1.0,1.0,0.6642,0.484,0.3,0.931,1.0,0.0,0.5,1.0,0.4133,True,False,False,False,B1候B2,22.8,1.38,22.07,True,166.7,福建自贸区/数字孪生/新型工业化,,True,B1+周线金叉
301176,,92.67,32,"vol_shrink(+0.37), ml_score(+0.33), j_low(+0.24)",,"vol_shrink(+0.37), ml_score(+0.33), j_low(+0.24)",1.0,1.0,0.491,1.0,1.0,0.759,0.2624,0.3,1.0,1.0,0.0,0.0,0.7,0.5952,True,False,False,False,B1候B2,54.33,-2.63,52.95,True,8913.0,,,True,B1
601066,,92.33,33,"amplitude(+0.44), pct_calm(+0.20), vol_shrink(+0.19)",,"amplitude(+0.44), pct_calm(+0.20), vol_shrink(+0.19)",0.7993,1.0,0.7488,1.0,1.0,0.6203,0.4546,0.9,1.0,0.0,0.0,0.5,1.0,0.3947,True,False,False,False,B1候B2,27.93,-2.55,25.81,True,181424.1,同花顺中特估100,,True,B1+周线金叉
300909,,92.33,34,"amplitude(+0.35), vol_shrink(+0.26), pct_calm(+0.20)",,"amplitude(+0.35), vol_shrink(+0.26), pct_calm(+0.20)",0.8806,1.0,0.705,1.0,1.0,0.6769,0.5303,0.6,1.0,0.0,0.0,0.5,0.7,0.3847,True,False,False,False,B1候B2,55.16,-1.57,50.78,True,7123.3,,,True,B1
603005,,92.27,35,"vol_shrink(+0.40), j_low(+0.24), pct_calm(+0.20)",电子器件,"vol_shrink(+0.40), j_low(+0.24), pct_calm(+0.20)",1.0,1.0,0.6087,1.0,1.0,0.7836,0.4782,0.0,1.0,1.0,1.0,0.5,0.7,0.39,True,False,False,False,B1候B2,43.02,1.01,41.84,True,280.6,传感器/第三代半导体/光刻机,46.5,True,B1
603045,,92.25,36,"vol_shrink(+0.50), pct_calm(+0.20), amplitude(+0.20)",,"vol_shrink(+0.50), pct_calm(+0.20), amplitude(+0.20)",0.8692,1.0,0.6287,1.0,0.7438,0.8612,0.2926,0.3,1.0,1.0,0.0,0.0,0.7,0.3295,True,False,False,False,B1候B2,70.6,0.04,67.6,True,9562.4,,,True,B1
603083,,92.24,37,"vol_shrink(+0.35), j_low(+0.24), pct_calm(+0.20)",,"vol_shrink(+0.35), j_low(+0.24), pct_calm(+0.20)",1.0,1.0,0.6269,1.0,1.0,0.7463,0.6029,0.0,1.0,1.0,0.0,0.5,0.7,0.3971,True,False,False,False,B1候B2,197.2,0.33,196.08,True,543.5,F5G概念/WiFi 6/液冷服务器,,True,B1
601636,,92.21,38,"amplitude(+0.26), vol_shrink(+0.25), j_low(+0.24)",玻璃行业,"amplitude(+0.26), vol_shrink(+0.25), j_low(+0.24)",1.0,1.0,0.6612,1.0,1.0,0.6679,0.3113,0.3,0.9206,1.0,0.0,0.5,0.7,0.4175,True,False,False,False,B1候B2,7.75,-1.52,7.57,True,22929.6,光伏/光伏概念/长株潭,38.0,True,B1
603186,,91.94,39,"vol_shrink(+0.37), j_low(+0.24), pct_calm(+0.20)",,"vol_shrink(+0.37), j_low(+0.24), pct_calm(+0.20)",1.0,1.0,0.5904,1.0,1.0,0.7569,0.5709,0.0,1.0,1.0,0.0,0.5,0.7,0.4271,True,False,False,False,B1候B2,185.06,-0.79,162.74,True,29015.7,华为概念/储能/锂电池概念,,True,B1
603256,,91.63,40,"vol_shrink(+0.31), j_low(+0.24), amplitude(+0.23)",,"vol_shrink(+0.31), j_low(+0.24), amplitude(+0.23)",1.0,1.0,0.6422,1.0,1.0,0.7159,0.582,0.3,1.0,1.0,0.0,0.5,0.7,0.3865,True,False,False,False,B1候B2,218.35,-0.45,196.35,True,192088.5,海峡两岸/苹果概念,,True,B1
