symbol,name,score,rank,top_factors,sector,reason,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,sig_b1,sig_volume_b1,sig_zhixing,close,pct_change,float_mv_yi,strict_signal
605318,,91.03,11,"j_low(+0.28), trend_gap(+0.22), vol_shrink(+0.17)",,"j_low(+0.28), trend_gap(+0.22), vol_shrink(+0.17)",1.0,1.0,0.7335,1.0,1.0,0.755,0.4022,0.6,1.0,1.0,0.0,True,False,False,89.0,-0.88,111.9,True
603032,,91.0,12,"j_low(+0.28), trend_gap(+0.22), yangyin(+0.19)",,"j_low(+0.28), trend_gap(+0.22), yangyin(+0.19)",1.0,1.0,0.7077,1.0,1.0,0.3871,0.7425,0.6,1.0,1.0,0.0,True,False,False,22.66,0.35,5249.5,True
301152,,90.77,13,"j_low(+0.25), trend_gap(+0.18), yangyin(+0.15)",,"j_low(+0.25), trend_gap(+0.18), yangyin(+0.15)",0.9401,1.0,0.7561,0.9172,1.0,0.6019,0.6798,0.6,0.879,1.0,0.0,True,False,False,32.26,0.03,2291.0,True
688707,,90.45,14,"j_low(+0.28), trend_gap(+0.22), bowl(+0.14)",,"j_low(+0.28), trend_gap(+0.22), bowl(+0.14)",1.0,1.0,0.7035,1.0,1.0,0.6152,0.5252,0.6,0.9663,1.0,0.0,True,False,False,16.19,0.0,8236.5,True
688087,,90.42,15,"j_low(+0.28), trend_gap(+0.22), yangyin(+0.16)",,"j_low(+0.28), trend_gap(+0.22), yangyin(+0.16)",1.0,1.0,0.6302,1.0,1.0,0.6395,0.6974,0.3,1.0,1.0,0.0,True,False,False,42.19,-1.68,7857.7,True
688295,,89.71,16,"j_low(+0.23), trend_gap(+0.22), vol_shrink(+0.21)",,"j_low(+0.23), trend_gap(+0.22), vol_shrink(+0.21)",0.8917,1.0,0.697,1.0,1.0,0.8397,0.3663,0.6,1.0,1.0,0.0,True,False,False,54.89,1.01,49401.0,True
002386,,88.97,17,"j_low(+0.28), vol_shrink(+0.21), trend_gap(+0.19)",,"j_low(+0.28), vol_shrink(+0.21), trend_gap(+0.19)",1.0,1.0,0.8756,0.9257,1.0,0.8429,0.5374,0.0,0.7684,1.0,1.0,True,False,False,6.46,0.47,8407.1,True
600527,,87.97,18,"j_low(+0.26), trend_gap(+0.22), bowl(+0.14)",,"j_low(+0.26), trend_gap(+0.22), bowl(+0.14)",0.9753,1.0,0.6334,1.0,1.0,0.6699,0.397,0.6,1.0,1.0,0.0,True,False,False,2.89,-0.69,5004.8,True
000626,,87.91,19,"j_low(+0.28), trend_gap(+0.21), vol_shrink(+0.15)",,"j_low(+0.28), trend_gap(+0.21), vol_shrink(+0.15)",1.0,1.0,0.7741,0.9786,1.0,0.7197,0.3957,0.6,0.7035,1.0,0.0,True,False,False,8.57,0.12,43.2,True
300767,,87.9,20,"j_low(+0.28), trend_gap(+0.22), bowl(+0.14)",,"j_low(+0.28), trend_gap(+0.22), bowl(+0.14)",1.0,1.0,0.7365,1.0,1.0,0.5292,0.5291,0.6,0.8016,1.0,0.0,True,False,False,22.61,-1.78,5424.0,True
002466,,87.25,21,"j_low(+0.28), trend_gap(+0.22), bowl(+0.14)",,"j_low(+0.28), trend_gap(+0.22), bowl(+0.14)",1.0,1.0,0.7586,1.0,1.0,0.5431,0.5846,0.3,1.0,1.0,0.0,True,False,False,69.11,-2.24,101980.9,True
301239,,87.21,22,"trend_gap(+0.22), surge(+0.21), yangyin(+0.15)",,"trend_gap(+0.22), surge(+0.21), yangyin(+0.15)",0.6771,1.0,0.6911,1.0,1.0,0.5882,0.683,1.0,1.0,0.0,0.0,True,True,False,43.8,0.46,6221.5,True
000703,,87.08,23,"j_low(+0.28), trend_gap(+0.22), vol_shrink(+0.17)",,"j_low(+0.28), trend_gap(+0.22), vol_shrink(+0.17)",1.0,1.0,0.735,1.0,1.0,0.7592,0.3918,0.3,1.0,1.0,0.0,True,False,False,14.84,0.0,564.2,True
300342,,87.04,24,"j_low(+0.28), trend_gap(+0.22), vol_shrink(+0.21)",,"j_low(+0.28), trend_gap(+0.22), vol_shrink(+0.21)",1.0,1.0,0.7577,1.0,1.0,0.8331,0.4916,0.0,1.0,1.0,0.0,True,False,False,58.1,-1.34,24422.7,True
300580,,86.91,25,"trend_gap(+0.22), j_low(+0.19), surge(+0.18)",,"trend_gap(+0.22), j_low(+0.19), surge(+0.18)",0.8081,1.0,0.5832,1.0,1.0,0.3859,0.6003,0.9,0.9453,1.0,0.0,True,True,False,27.9,2.61,13185.3,True
600546,,86.69,26,"yangyin(+0.33), trend_gap(+0.22), j_low(+0.10)",,"yangyin(+0.33), trend_gap(+0.22), j_low(+0.10)",0.6103,1.0,0.6949,1.0,1.0,0.5802,1.0,0.3,1.0,0.0,1.0,True,False,False,13.66,2.48,27080.4,True
301077,,86.66,27,"j_low(+0.20), trend_gap(+0.18), surge(+0.18)",,"j_low(+0.20), trend_gap(+0.18), surge(+0.18)",0.8296,1.0,0.7917,0.9071,1.0,0.713,0.6358,0.9,0.6711,0.0,0.0,True,True,False,30.06,0.97,2867.8,True
