symbol,name,score,rank,top_factors,sector,reason,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,close,pct_change,float_mv_yi,strict_signal,sector_score,strategies,concepts
003026,,84.67,33,"yangyin(+0.32), trend_gap(+0.21), bowl(+0.13)",,"yangyin(+0.32), trend_gap(+0.21), bowl(+0.13)",0.6381,1.0,0.6612,1.0,1.0,0.5456,1.0,0.3,1.0,1.0,0.0,0.5,0.7,0.3266,True,False,False,46.0,-0.11,44.5,True,,B1,
688558,,84.67,34,"surge(+0.22), trend_gap(+0.21), j_low(+0.10)",,"surge(+0.22), trend_gap(+0.21), j_low(+0.10)",0.7136,1.0,0.8298,1.0,1.0,0.5877,0.4196,1.0,1.0,0.0,0.0,0.5,1.0,0.3736,True,False,False,41.09,1.86,54.2,True,,B1+周线金叉,
603275,,84.6,35,"j_low(+0.20), surge(+0.18), trend_gap(+0.18)",,"j_low(+0.20), surge(+0.18), trend_gap(+0.18)",0.9206,1.0,0.7387,0.9474,1.0,0.4988,0.3473,0.9,0.7428,1.0,0.0,0.5,1.0,0.3535,True,False,False,48.77,-0.43,20.3,True,,B1+周线金叉,
300981,,84.41,36,"j_low(+0.21), vol_shrink(+0.18), bowl(+0.13)",,"j_low(+0.21), vol_shrink(+0.18), bowl(+0.13)",0.9347,1.0,0.7761,0.7974,0.9202,0.8791,0.3825,0.3,0.6585,1.0,1.0,0.5,0.7,0.3969,True,False,False,14.47,1.26,56.9,True,,B1,
300840,,84.15,37,"yangyin(+0.25), surge(+0.22), trend_gap(+0.21)",,"yangyin(+0.25), surge(+0.22), trend_gap(+0.21)",0.6199,0.9624,0.6341,1.0,1.0,0.4558,0.8718,1.0,1.0,0.0,0.0,1.0,1.0,0.2786,False,True,False,24.64,3.23,43.6,True,,量能B1+周线金叉,
600206,,84.15,38,"yangyin(+0.26), trend_gap(+0.21), j_low(+0.17)",电子器件,"yangyin(+0.26), trend_gap(+0.21), j_low(+0.17)",0.8582,1.0,0.7464,1.0,1.0,0.4846,0.882,0.6,1.0,0.0,0.0,0.5,1.0,0.2956,True,False,False,29.76,2.9,251.9,True,65.3,B1+周线金叉,
300558,,84.0,39,"surge(+0.18), trend_gap(+0.15), bowl(+0.13)",,"surge(+0.18), trend_gap(+0.15), bowl(+0.13)",0.7592,1.0,0.7316,0.8775,1.0,0.5434,0.4149,0.9,0.5602,1.0,0.0,0.5,1.0,0.3946,True,False,False,48.66,-2.05,204.1,True,,B1+周线金叉,
688283,,83.87,40,"bowl(+0.13), yangyin(+0.13), vol_shrink(+0.10)",,"bowl(+0.13), yangyin(+0.13), vol_shrink(+0.10)",0.6186,1.0,0.7592,0.7736,1.0,0.7108,0.6448,0.6,0.8523,1.0,0.0,1.0,1.0,0.3247,True,False,False,45.23,2.1,55.1,True,,B1+周线金叉,
603803,,83.68,41,"j_low(+0.24), trend_gap(+0.21), vol_shrink(+0.20)",,"j_low(+0.24), trend_gap(+0.21), vol_shrink(+0.20)",1.0,1.0,0.6918,1.0,1.0,0.9023,0.3652,0.0,1.0,1.0,0.0,0.5,0.7,0.3672,True,False,False,15.07,2.45,64.0,True,,B1,
688523,,83.63,42,"j_low(+0.24), trend_gap(+0.21), vol_shrink(+0.10)",,"j_low(+0.24), trend_gap(+0.21), vol_shrink(+0.10)",1.0,1.0,0.643,1.0,1.0,0.7093,0.5519,0.6,0.902,0.0,0.0,0.5,1.0,0.3151,True,False,False,68.02,2.02,65.7,True,,B1+周线金叉,
600135,,83.51,43,"j_low(+0.24), trend_gap(+0.16), vol_shrink(+0.13)",化工行业,"j_low(+0.24), trend_gap(+0.16), vol_shrink(+0.13)",1.0,1.0,0.7134,0.894,0.9372,0.7726,0.383,0.3,0.8067,1.0,0.0,0.5,1.0,0.3597,True,False,False,10.9,1.87,60.3,True,17.0,B1+周线金叉,
603257,,83.46,44,"j_low(+0.24), bowl(+0.13), weekly_cross(+0.10)",,"j_low(+0.24), bowl(+0.13), weekly_cross(+0.10)",0.9997,1.0,0.6602,0.7228,1.0,0.6029,0.447,0.6,0.6643,1.0,0.0,0.5,1.0,0.3891,True,False,False,61.77,1.25,15.4,True,,B1+周线金叉,
300147,,83.31,45,"j_low(+0.24), surge(+0.18), vol_shrink(+0.16)",生物制药,"j_low(+0.24), surge(+0.18), vol_shrink(+0.16)",1.0,1.0,0.8335,0.7742,0.8635,0.8198,0.2651,0.9,0.6682,1.0,0.0,0.5,0.7,0.3333,True,False,False,10.09,0.8,66.3,True,24.5,B1,
603217,,83.3,46,"trend_gap(+0.21), j_low(+0.17), bowl(+0.13)",,"trend_gap(+0.21), j_low(+0.17), bowl(+0.13)",0.8576,1.0,0.7766,1.0,1.0,0.6874,0.5238,0.3,0.8251,1.0,0.0,0.0,1.0,0.3657,True,False,False,28.63,0.99,59.6,True,,B1+周线金叉,
300142,,83.3,47,"j_low(+0.24), trend_gap(+0.21), bowl(+0.13)",生物制药,"j_low(+0.24), trend_gap(+0.21), bowl(+0.13)",1.0,1.0,0.8205,1.0,1.0,0.5977,0.2826,0.6,1.0,1.0,0.0,0.5,1.0,0.3083,True,False,False,13.78,0.29,217.3,True,24.5,B1+周线金叉,
301286,,83.23,48,"trend_gap(+0.21), surge(+0.18), bowl(+0.13)",,"trend_gap(+0.21), surge(+0.18), bowl(+0.13)",0.753,1.0,0.7267,1.0,1.0,0.3757,0.4945,0.9,1.0,1.0,0.0,0.5,1.0,0.3242,True,False,False,56.99,1.59,91.9,True,,B1+周线金叉,
300667,,82.82,49,"surge(+0.18), trend_gap(+0.17), bowl(+0.13)",,"surge(+0.18), trend_gap(+0.17), bowl(+0.13)",0.7408,1.0,0.7527,0.9212,1.0,0.6372,0.3934,0.9,0.8451,1.0,0.0,0.5,1.0,0.315,True,False,False,19.09,2.63,33.0,True,,B1+周线金叉,
603126,,82.78,50,"j_low(+0.24), trend_gap(+0.19), surge(+0.18)",环保行业,"j_low(+0.24), trend_gap(+0.19), surge(+0.18)",1.0,1.0,0.742,0.9629,1.0,0.491,0.2581,0.9,0.7467,1.0,0.0,0.5,0.7,0.3584,True,False,False,8.19,2.25,50.0,True,45.5,B1,
