symbol,name,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,sig_needle,pattern_state,close,pct_change,yellow_line,above_yellow,float_mv_yi,sector,concepts,sector_score
600096,,1.0,0.7132,0.7029,0.258,0.219,0.5838,0.1893,0.6,0.0,0.0,0.0,0.5,0.0,0.5079,False,False,False,False,无明确战法态,28.86,-4.72,31.98,False,526.1,农药化肥,锂电池/券商重仓/分拆上市,30.3
600097,,0.0,0.8737,0.7253,0.0,0.0,0.6819,0.2088,0.0,0.0,0.0,0.0,0.5,0.0,0.5589,False,False,False,False,无明确战法态,7.94,-3.76,9.16,False,1913.0,农林牧渔,水产品,26.5
600098,,0.138,0.9632,0.7853,0.0,0.0,0.8327,0.3005,0.0,0.0,0.0,0.0,0.0,1.0,0.4702,False,False,False,False,无明确战法态,6.01,-3.22,6.86,False,21070.2,电力行业,光伏/金融参股/券商重仓,16.4
600099,,0.0,0.8349,0.6557,0.0,0.0,0.6914,0.1297,0.0,0.0,0.0,0.0,0.5,0.0,0.5855,False,False,False,False,无明确战法态,8.18,-3.99,9.49,False,1792.4,摩托车,专精特新/沿海发展,
600100,,0.0,1.0,0.7353,0.0,0.0,0.7684,0.2747,0.0,0.0,0.0,0.0,0.5,0.0,0.495,False,False,False,False,无明确战法态,6.6,-2.94,7.55,False,22112.0,电子信息,国防军工/雄安新区/军工航天,16.9
600101,,0.0,0.8676,0.7634,0.0,0.0,0.9277,0.2761,0.3,0.0,0.0,0.0,0.5,0.0,0.5386,False,False,False,False,无明确战法态,7.86,-3.79,9.16,False,4306.2,电力行业,成渝特区/涉矿概念/业绩预升,16.4
600103,,0.7518,0.7299,0.67,0.0,0.0,0.7716,0.1286,0.3,0.0,0.0,0.0,0.0,0.0,0.7686,False,False,False,False,无明确战法态,2.89,-4.62,3.64,False,63.9,造纸行业,海峡西岸/金融参股/参股金融,30.7
600104,,0.0,1.0,0.8246,0.0,0.0,0.557,0.1824,0.0,0.0,0.0,0.0,0.5,0.0,0.4293,False,False,False,False,无明确战法态,10.13,-1.27,11.57,False,116447.2,汽车制造,国企改革/整体上市/社保重仓,29.4
600105,,1.0,1.0,0.4752,1.0,1.0,0.5531,0.4291,0.0,0.5707,0.0,0.0,0.5,0.7,0.5256,True,False,False,False,B1候B2,49.05,-2.0,52.23,False,717.1,电子信息,专精特新/5G概念/海工装备,16.9
600106,,0.8045,0.9916,0.7386,0.0,0.0,0.6609,0.0746,0.3,0.0,0.0,0.0,0.0,0.0,0.4278,False,False,False,False,无明确战法态,4.45,-3.05,5.23,False,5914.2,公路桥梁,成渝特区/金融参股/信托重仓,33.5
600107,,0.0,1.0,0.4795,0.3469,0.4388,0.4152,0.2551,0.0,1.0,0.0,0.0,0.5,0.7,0.3955,False,False,False,False,B2确认,6.61,-0.75,6.16,True,2379.6,服装鞋类,金融参股/参股金融/股期概念,39.0
600108,,0.8454,0.7325,0.6711,0.0,0.0,0.6975,0.2122,0.3,0.0,0.0,0.0,0.0,0.0,0.5572,False,False,False,False,无明确战法态,2.9,-4.61,3.63,False,5646.1,农林牧渔,稀缺资源/陕甘宁/金融参股,26.5
600109,,0.4341,1.0,0.8142,0.5258,1.0,0.6819,0.3096,1.0,0.5524,1.0,0.0,1.0,0.0,0.373,False,False,False,False,无明确战法态,8.76,-2.34,8.74,True,32459.0,金融行业,成渝特区/股期概念,39.0
600110,,0.0347,0.5271,0.2726,1.0,1.0,0.1771,0.4588,0.3,1.0,0.0,0.0,0.5,0.7,0.2893,False,False,False,False,B1候B2,15.23,5.84,12.94,True,26426.8,电力行业,锂电池/参股金融/宁德时代概念,16.4
600111,,0.51,1.0,0.876,0.3255,0.0134,0.8952,0.5705,0.3,0.2645,0.0,0.0,0.0,0.0,0.3257,False,False,False,False,无明确战法态,47.45,0.3,49.79,False,171534.9,有色金属,稀缺资源/锂电池/基金重仓,22.6
600113,,0.0,0.3823,0.5214,0.0,0.0,0.2564,0.0941,0.0,0.0,0.0,0.0,0.5,0.0,0.521,False,False,False,False,无明确战法态,31.58,-6.71,38.17,False,12993.0,房地产,金融改革/民营银行/金融参股,27.4
600114,,0.8838,1.0,0.6627,0.9888,0.0694,0.8316,0.4357,0.0,0.2704,0.0,0.0,0.0,0.7,0.5294,False,False,False,False,B1候B2,35.17,-2.76,37.47,False,21678.2,机械行业,业绩预升/外资背景/减速器,32.0
600115,,0.9008,1.0,0.8095,0.0,0.0,0.5089,0.1622,0.3,0.0,0.0,0.0,0.0,0.0,0.3962,False,False,False,False,无明确战法态,3.74,-2.86,4.19,False,63673.4,交通运输,大飞机/含H股/上海自贸,32.3
600116,,0.0,0.8079,0.7342,0.0,0.0,0.6231,0.3275,0.3,0.0,0.0,0.0,0.5,0.0,0.5017,False,False,False,False,无明确战法态,5.77,-4.15,6.27,False,11033.1,电力行业,光伏/成渝特区/水利建设,16.4
